image_number,x,y,z,roll,pith,yaw,j1,j2,j3,j4,j5,j6,j7
1,-0.567852,-0.113243,0.162764,1.248436,3.26872,130.846269,-0.195079,0.575039,-0.247103,-1.660726,0.091224,0.918411,-1.31733
2,-0.56784,-0.112371,0.159991,1.011324,3.350374,130.755674,-0.195079,0.579689,-0.245509,-1.66057,0.091248,0.918207,-1.317318
3,-0.567889,-0.111946,0.158848,0.921862,3.376426,130.71033,-0.195079,0.581546,-0.244694,-1.660558,0.091248,0.917931,-1.317318
4,-0.568006,-0.111464,0.157706,0.833059,3.398225,130.658725,-0.195079,0.58344,-0.243747,-1.660451,0.091248,0.917668,-1.317306
5,-0.568152,-0.110992,0.156619,0.753334,3.415083,130.607924,-0.195091,0.585237,-0.242789,-1.660343,0.09126,0.91732,-1.317294
6,-0.568397,-0.110554,0.155696,0.695809,3.423796,130.553115,-0.195079,0.586831,-0.241854,-1.660103,0.09126,0.916889,-1.317342
7,-0.568895,-0.10999,0.154622,0.650867,3.420419,130.481251,-0.195091,0.588761,-0.240512,-1.659624,0.09126,0.91605,-1.31733
8,-0.569794,-0.109211,0.153327,0.655375,3.38687,130.374459,-0.195091,0.590954,-0.23851,-1.659144,0.09126,0.913893,-1.317342
9,-0.571335,-0.108599,0.152103,0.806711,3.30611,130.25808,-0.195091,0.593027,-0.236305,-1.658545,0.09126,0.909255,-1.317342
10,-0.573186,-0.108353,0.1512,1.100102,3.189964,130.159717,-0.195103,0.594393,-0.234436,-1.658246,0.091248,0.902496,-1.317366
11,-0.575514,-0.108555,0.150418,1.570766,3.034858,130.077982,-0.195115,0.595412,-0.232902,-1.658234,0.091224,0.892668,-1.31739
12,-0.57775,-0.109244,0.149841,2.091854,2.894141,130.035798,-0.195079,0.596215,-0.232266,-1.658257,0.091164,0.88235,-1.317402
13,-0.579825,-0.110284,0.149549,2.626209,2.764725,130.029848,-0.195115,0.59667,-0.232266,-1.658269,0.091116,0.872295,-1.31739
14,-0.581621,-0.111335,0.149437,3.102177,2.646009,130.039024,-0.195367,0.59685,-0.232302,-1.658305,0.091104,0.863523,-1.31739
15,-0.582735,-0.112105,0.14942,3.421997,2.571371,130.050406,-0.195559,0.596826,-0.232446,-1.658449,0.091032,0.857686,-1.31739
16,-0.583016,-0.112617,0.149429,3.549133,2.563973,130.06618,-0.195583,0.596814,-0.232938,-1.658545,0.090828,0.855481,-1.317402
17,-0.582797,-0.112944,0.149431,3.556053,2.586688,130.095532,-0.195571,0.596802,-0.233585,-1.658701,0.090756,0.855409,-1.31739
18,-0.582426,-0.113234,0.149339,3.547364,2.623808,130.112079,-0.195607,0.596754,-0.234112,-1.659096,0.090385,0.855433,-1.31739
19,-0.581911,-0.11347,0.149083,3.524871,2.681072,130.109086,-0.195595,0.59679,-0.234555,-1.65972,0.089642,0.855445,-1.317402
20,-0.581373,-0.113518,0.148767,3.484993,2.720114,130.112783,-0.195583,0.59679,-0.234807,-1.660594,0.089258,0.855445,-1.317378
21,-0.580859,-0.113508,0.14842,3.438632,2.75036,130.116527,-0.195619,0.596826,-0.234951,-1.661505,0.089043,0.855433,-1.317414
