image_number,x,y,z,roll,pith,yaw,j1,j2,j3,j4,j5,j6,j7
1,-0.648697,-0.082158,0.150742,0.890286,4.557404,138.307301,-0.194624,0.722924,-0.144937,-1.405834,0.02247,1.045659,-1.044785
2,-0.64869,-0.081761,0.149587,0.793792,4.57046,138.300534,-0.194624,0.724698,-0.144494,-1.405858,0.023141,1.045431,-1.044773
3,-0.64871,-0.081585,0.149284,0.768075,4.575316,138.284937,-0.194624,0.725141,-0.144182,-1.405834,0.023141,1.045419,-1.044773
4,-0.648729,-0.08143,0.149071,0.746851,4.576936,138.27181,-0.194648,0.725441,-0.143883,-1.405822,0.023141,1.045443,-1.044773
5,-0.648773,-0.081237,0.148924,0.731267,4.572267,138.256315,-0.194648,0.725621,-0.143535,-1.405834,0.023141,1.045419,-1.044761
6,-0.648827,-0.081031,0.148827,0.717457,4.565435,138.239171,-0.194636,0.725729,-0.143176,-1.405834,0.023141,1.045431,-1.044761
7,-0.648938,-0.080704,0.148769,0.702799,4.548455,138.211468,-0.194624,0.725753,-0.142589,-1.405834,0.023141,1.045431,-1.044773
8,-0.649091,-0.080435,0.14881,0.699328,4.52794,138.189037,-0.194612,0.725693,-0.142085,-1.405726,0.023141,1.045431,-1.044761
9,-0.649186,-0.08038,0.148939,0.70852,4.515027,138.184388,-0.194624,0.725537,-0.141941,-1.405618,0.023141,1.045431,-1.044749
10,-0.64926,-0.080415,0.14913,0.725463,4.504227,138.187675,-0.194624,0.725309,-0.141977,-1.40551,0.023153,1.045419,-1.044737
11,-0.649323,-0.080471,0.149383,0.746251,4.49226,138.190429,-0.194648,0.724962,-0.142013,-1.405438,0.023129,1.045419,-1.044749
12,-0.649367,-0.08051,0.149713,0.770239,4.476883,138.196496,-0.194636,0.724458,-0.142085,-1.40545,0.023141,1.045419,-1.044725
13,-0.649421,-0.080558,0.150131,0.80034,4.45759,138.200497,-0.194636,0.723811,-0.142145,-1.405474,0.023129,1.045419,-1.044737
14,-0.649449,-0.080696,0.15051,0.831264,4.444716,138.214152,-0.194648,0.72326,-0.142361,-1.405462,0.023129,1.045419,-1.044713
15,-0.649449,-0.080894,0.150913,0.865459,4.435475,138.229552,-0.194648,0.722673,-0.142696,-1.405474,0.023117,1.045419,-1.044737
16,-0.649411,-0.081121,0.15122,0.893402,4.43382,138.249031,-0.19466,0.722229,-0.14308,-1.405498,0.023093,1.045431,-1.044725
17,-0.649318,-0.08148,0.151481,0.927152,4.4464,138.271891,-0.19466,0.72187,-0.143667,-1.40551,0.022926,1.045419,-1.044725
18,-0.649119,-0.081998,0.151639,0.966134,4.485853,138.290439,-0.19466,0.72163,-0.144422,-1.405546,0.022374,1.045419,-1.044737
19,-0.64878,-0.08269,0.151672,0.989662,4.534462,138.343327,-0.194672,0.721606,-0.145668,-1.405726,0.022231,1.045431,-1.044737
20,-0.648259,-0.083445,0.151591,0.999882,4.597318,138.407291,-0.194672,0.721618,-0.147131,-1.406217,0.022147,1.045443,-1.044737
21,-0.647568,-0.084309,0.151422,1.000567,4.672384,138.48654,-0.194708,0.721642,-0.148832,-1.406996,0.022135,1.045431,-1.044737
22,-0.646749,-0.085108,0.15116,0.986837,4.755244,138.563259,-0.194696,0.721654,-0.150534,-1.408063,0.022135,1.045431,-1.044749
23,-0.645865,-0.085912,0.150863,0.971736,4.845725,138.636755,-0.194684,0.721642,-0.152224,-1.409249,0.022003,1.045419,-1.044749
