image_number,x,y,z,roll,pith,yaw,j1,j2,j3,j4,j5,j6,j7
1,-0.688391,-0.027995,0.14561,0.274558,-3.450296,137.168188,-0.192575,0.734213,-0.070899,-1.406721,0.115719,0.967977,-1.055822
2,-0.688662,-0.026218,0.142884,0.082382,-3.448976,137.041379,-0.192575,0.738108,-0.067807,-1.406613,0.115731,0.966911,-1.056002
3,-0.688854,-0.02532,0.142086,0.00658,-3.465971,136.958594,-0.192563,0.739295,-0.066249,-1.406445,0.115731,0.966803,-1.056362
4,-0.68913,-0.02444,0.14156,-0.047342,-3.503449,136.895199,-0.192587,0.740098,-0.064679,-1.406265,0.115803,0.966563,-1.056434
5,-0.689488,-0.023467,0.141143,-0.092545,-3.557076,136.831782,-0.192587,0.740757,-0.062977,-1.406061,0.115947,0.966204,-1.056422
6,-0.689888,-0.022414,0.140881,-0.130683,-3.624853,136.763513,-0.192587,0.741164,-0.061144,-1.405906,0.116139,0.965808,-1.056422
7,-0.690215,-0.02143,0.140772,-0.157324,-3.68785,136.695762,-0.192551,0.74126,-0.059454,-1.405894,0.116211,0.965461,-1.05641
8,-0.690843,-0.019516,0.140885,-0.206811,-3.811092,136.555698,-0.192527,0.741032,-0.056098,-1.405738,0.116223,0.965293,-1.056422
9,-0.69146,-0.017949,0.141373,-0.224318,-3.930251,136.43666,-0.192527,0.740349,-0.053294,-1.405462,0.116211,0.965293,-1.056434
10,-0.691962,-0.016842,0.142092,-0.211544,-4.032093,136.351652,-0.192491,0.739331,-0.051341,-1.405258,0.116223,0.965305,-1.056422
11,-0.692268,-0.016205,0.142775,-0.183725,-4.098523,136.299593,-0.192359,0.738336,-0.050334,-1.405175,0.116211,0.965317,-1.05641
12,-0.692473,-0.016034,0.143603,-0.127714,-4.14452,136.277729,-0.192179,0.73715,-0.05019,-1.405115,0.116211,0.965305,-1.056434
13,-0.692695,-0.01607,0.144613,-0.057075,-4.194734,136.271855,-0.192179,0.735723,-0.050178,-1.405019,0.116211,0.965317,-1.056434
14,-0.692951,-0.016226,0.145745,0.026171,-4.248623,136.27379,-0.192239,0.734165,-0.050286,-1.404851,0.116223,0.965317,-1.056434
15,-0.693203,-0.016407,0.14712,0.118275,-4.309051,136.27596,-0.192347,0.732236,-0.050382,-1.404707,0.116211,0.965473,-1.056434
16,-0.693363,-0.016562,0.148537,0.203891,-4.365713,136.278498,-0.192431,0.730151,-0.050502,-1.404743,0.116211,0.965736,-1.056434
17,-0.693535,-0.016757,0.150108,0.301194,-4.424914,136.280437,-0.192479,0.727862,-0.050717,-1.404743,0.116187,0.966048,-1.056446
18,-0.693478,-0.016951,0.151788,0.361362,-4.45628,136.285914,-0.192467,0.725429,-0.051113,-1.404743,0.116163,0.967318,-1.056458
19,-0.693283,-0.01718,0.153466,0.399545,-4.469005,136.293675,-0.192467,0.722996,-0.051604,-1.404755,0.116103,0.96908,-1.056494
20,-0.693116,-0.017536,0.155179,0.465536,-4.478067,136.29479,-0.192455,0.720479,-0.052215,-1.404755,0.115779,0.970566,-1.056565
21,-0.692713,-0.017911,0.156966,0.482612,-4.460569,136.274383,-0.192527,0.717867,-0.052887,-1.404779,0.11554,0.973131,-1.057189
22,-0.692289,-0.018208,0.15863,0.478963,-4.438741,136.1727,-0.192587,0.715434,-0.053462,-1.404839,0.115456,0.975911,-1.05925
23,-0.691589,-0.018465,0.160181,0.429995,-4.378263,136.145422,-0.192575,0.713145,-0.054157,-1.404899,0.115168,0.979494,-1.059933
24,-0.690712,-0.018624,0.161655,0.331703,-4.297381,136.1594,-0.192587,0.711012,-0.054792,-1.404911,0.114941,0.983844,-1.059921
25,-0.6895,-0.018573,0.163233,0.144614,-4.185968,136.174462,-0.192659,0.708759,-0.055247,-1.404935,0.114905,0.989896,-1.059921
26,-0.688404,-0.018353,0.164448,-0.045509,-4.082151,136.175602,-0.192695,0.707033,-0.055403,-1.404947,0.114869,0.995397,-1.059933
27,-0.687306,-0.018038,0.165463,-0.250232,-3.973845,136.171761,-0.192707,0.705607,-0.055427,-1.404947,0.114833,1.000862,-1.059921
28,-0.685985,-0.017683,0.166263,-0.488983,-3.827935,136.153888,-0.192671,0.704397,-0.055427,-1.405067,0.114485,1.006842,-1.059933
29,-0.684598,-0.017473,0.166835,-0.723349,-3.648768,136.118591,-0.192695,0.703486,-0.055415,-1.405103,0.113526,1.012846,-1.059969
30,-0.68321,-0.017216,0.167238,-0.990033,-3.474225,136.10356,-0.192719,0.702947,-0.055499,-1.405091,0.113083,1.01897,-1.060005
31,-0.681974,-0.017104,0.167543,-1.240634,-3.323105,136.09391,-0.192814,0.702635,-0.055811,-1.405067,0.113095,1.024459,-1.060436
32,-0.68079,-0.01753,0.167728,-1.467985,-3.15997,135.846177,-0.193066,0.702527,-0.056674,-1.405043,0.113119,1.029816,-1.06559
33,-0.68029,-0.018563,0.167753,-1.540889,-3.066772,135.280267,-0.193438,0.702551,-0.057884,-1.405103,0.113119,1.032381,-1.076699
34,-0.680131,-0.02,0.167777,-1.54999,-3.00265,134.374562,-0.193953,0.702575,-0.059262,-1.405127,0.113107,1.034118,-1.094004
35,-0.680408,-0.021567,0.167715,-1.482355,-2.990456,133.24406,-0.194636,0.702587,-0.060353,-1.405306,0.113095,1.034286,-1.115216
36,-0.680813,-0.023164,0.167666,-1.399572,-2.989136,131.935518,-0.195343,0.702539,-0.061347,-1.405546,0.113095,1.034274,-1.139496
37,-0.68136,-0.025063,0.167652,-1.290221,-2.977671,130.383261,-0.195918,0.702575,-0.062857,-1.405582,0.113107,1.034286,-1.16827
38,-0.681967,-0.026652,0.16764,-1.185935,-2.971044,128.787139,-0.196278,0.702587,-0.064104,-1.405642,0.113107,1.034298,-1.197392
39,-0.682594,-0.028144,0.167666,-1.075736,-2.957168,127.1786,-0.196386,0.702563,-0.065506,-1.405678,0.113095,1.034286,-1.226586
40,-0.683153,-0.029666,0.167603,-0.973896,-2.927783,125.491402,-0.196398,0.702575,-0.0671,-1.405906,0.113059,1.03431,-1.257205
41,-0.6836,-0.031177,0.16745,-0.885904,-2.887846,123.835569,-0.196398,0.702587,-0.06879,-1.406385,0.113035,1.034286,-1.28737
42,-0.68403,-0.032636,0.167244,-0.809493,-2.846467,122.087041,-0.196398,0.702575,-0.070431,-1.407056,0.113047,1.03431,-1.319152
43,-0.684455,-0.033845,0.167034,-0.746834,-2.811817,120.418244,-0.196386,0.702539,-0.07175,-1.407751,0.113035,1.03437,-1.34928
44,-0.684831,-0.035039,0.16679,-0.705019,-2.771466,118.729615,-0.196386,0.702563,-0.073104,-1.408446,0.113035,1.034717,-1.379804
45,-0.68505,-0.036082,0.166482,-0.708362,-2.729049,117.013102,-0.196386,0.702587,-0.074338,-1.409309,0.113047,1.03564,-1.410747
46,-0.685001,-0.036927,0.166029,-0.781777,-2.687665,115.159873,-0.19641,0.702563,-0.075369,-1.410615,0.113047,1.037426,-1.44398
47,-0.684922,-0.037707,0.165463,-0.862947,-2.652731,113.273567,-0.196386,0.702587,-0.076412,-1.412125,0.113047,1.039068,-1.477775
48,-0.684424,-0.038361,0.165057,-1.061695,-2.616966,111.475196,-0.196398,0.702575,-0.077526,-1.413312,0.113047,1.043011,-1.510097
49,-0.683608,-0.038909,0.164725,-1.341344,-2.587471,109.867478,-0.196398,0.702635,-0.078737,-1.414211,0.113047,1.048391,-1.539134
50,-0.68234,-0.039119,0.164405,-1.725341,-2.579247,108.490062,-0.19641,0.702671,-0.079671,-1.415122,0.113047,1.055354,-1.563966
51,-0.680634,-0.039205,0.164103,-2.196576,-2.584796,107.254806,-0.196398,0.702647,-0.08069,-1.41614,0.113047,1.063671,-1.586376
52,-0.678806,-0.039367,0.163836,-2.683043,-2.600125,106.158928,-0.19641,0.702647,-0.0819,-1.417075,0.113047,1.072216,-1.606534
53,-0.676926,-0.039461,0.163658,-3.178335,-2.628843,105.220637,-0.196398,0.702647,-0.083087,-1.417818,0.113047,1.080977,-1.623899
54,-0.67506,-0.039451,0.163622,-3.675708,-2.672136,104.440054,-0.196398,0.702623,-0.084117,-1.418261,0.113059,1.089965,-1.6384
55,-0.67362,-0.039562,0.163692,-4.058243,-2.703083,103.919471,-0.19641,0.702635,-0.085112,-1.418345,0.113059,1.097059,-1.648311
56,-0.672616,-0.039781,0.163799,-4.311595,-2.713501,103.635194,-0.196386,0.702635,-0.086083,-1.418309,0.113071,1.101829,-1.654027
57,-0.672029,-0.040051,0.163891,-4.444979,-2.711327,103.490708,-0.196398,0.702575,-0.08685,-1.418333,0.113071,1.10437,-1.657167
58,-0.671657,-0.040323,0.163955,-4.51156,-2.69355,103.499538,-0.196374,0.702539,-0.087521,-1.418345,0.113059,1.105592,-1.657502
59,-0.671519,-0.040659,0.163966,-4.518849,-2.670597,103.526799,-0.196362,0.702551,-0.088156,-1.418369,0.113059,1.1057,-1.657502
60,-0.671439,-0.040846,0.163959,-4.521746,-2.658864,103.542847,-0.196374,0.702551,-0.088492,-1.418429,0.113071,1.1057,-1.657502
61,-0.671388,-0.040902,0.163952,-4.525657,-2.655182,103.54568,-0.196386,0.702527,-0.088588,-1.418501,0.113059,1.105724,-1.657538
62,-0.671308,-0.040851,0.163888,-4.534623,-2.654842,103.545235,-0.196326,0.702515,-0.0886,-1.418693,0.113059,1.1057,-1.657514
63,-0.67118,-0.040829,0.163774,-4.551578,-2.656126,103.544589,-0.196338,0.702527,-0.0886,-1.41898,0.113071,1.1057,-1.657574
64,-0.671018,-0.040717,0.16364,-4.574813,-2.660592,103.54479,-0.196266,0.702527,-0.088576,-1.419352,0.113131,1.105736,-1.65755
65,-0.670972,-0.040618,0.163604,-4.583734,-2.671511,103.549575,-0.196194,0.702527,-0.088588,-1.419508,0.113359,1.105748,-1.657538
66,-0.67091,-0.040456,0.16358,-4.599473,-2.70718,103.574783,-0.196194,0.702491,-0.088588,-1.419819,0.114078,1.105784,-1.657502
67,-0.670975,-0.040369,0.163635,-4.598966,-2.740087,103.622301,-0.196242,0.702515,-0.088612,-1.419819,0.114809,1.105772,-1.657119
68,-0.671064,-0.040207,0.16378,-4.600537,-2.804439,103.782766,-0.19635,0.702527,-0.088719,-1.419831,0.116379,1.105772,-1.655321
69,-0.671017,-0.040306,0.163949,-4.597135,-2.8157,103.975383,-0.19635,0.702443,-0.089187,-1.419807,0.117206,1.105748,-1.652733
70,-0.670911,-0.040552,0.164212,-4.595976,-2.816643,104.388901,-0.196362,0.702431,-0.09005,-1.41958,0.11844,1.10576,-1.646789
71,-0.670636,-0.040767,0.164609,-4.606392,-2.809446,105.238083,-0.196338,0.702419,-0.091224,-1.419268,0.120405,1.105748,-1.633798
72,-0.670185,-0.040519,0.165186,-4.653064,-2.866415,106.667534,-0.19635,0.702347,-0.092423,-1.419208,0.12454,1.10576,-1.611867
73,-0.669462,-0.039961,0.165947,-4.736151,-2.929103,108.774966,-0.196338,0.702192,-0.093753,-1.419244,0.129969,1.105736,-1.578838
74,-0.668608,-0.038972,0.166785,-4.853803,-2.977529,111.367401,-0.19635,0.702036,-0.094604,-1.419172,0.135649,1.105736,-1.537109
75,-0.667545,-0.037508,0.167705,-5.012928,-2.998752,114.452408,-0.19635,0.701748,-0.094987,-1.419184,0.141426,1.105736,-1.486452
76,-0.666309,-0.035741,0.168702,-5.197681,-2.956602,117.959868,-0.196326,0.701353,-0.095035,-1.419088,0.146627,1.105736,-1.427801
77,-0.664796,-0.033956,0.169679,-5.389512,-2.798146,121.85771,-0.196302,0.700897,-0.095023,-1.418861,0.15039,1.105724,-1.36148
78,-0.66311,-0.032385,0.170532,-5.549313,-2.527068,125.769454,-0.19629,0.70037,-0.095023,-1.418585,0.152128,1.105712,-1.293829
79,-0.66139,-0.030998,0.171301,-5.653596,-2.178082,129.637878,-0.196302,0.699783,-0.095023,-1.418201,0.152235,1.105604,-1.226058
80,-0.659627,-0.029419,0.172071,-5.739366,-1.81074,133.594385,-0.196278,0.69904,-0.095023,-1.418082,0.152223,1.105436,-1.156646
81,-0.658122,-0.027869,0.172807,-5.795723,-1.48365,137.101456,-0.19623,0.698237,-0.094987,-1.418082,0.152176,1.105317,-1.095035
82,-0.656777,-0.026346,0.173557,-5.828842,-1.175293,140.383856,-0.196158,0.697386,-0.095011,-1.418094,0.152092,1.105269,-1.037355
83,-0.655637,-0.024945,0.174338,-5.831615,-0.895943,143.369094,-0.196134,0.696439,-0.095011,-1.418082,0.151828,1.105221,-0.984816
84,-0.654611,-0.023575,0.175123,-5.816392,-0.633615,146.205994,-0.196122,0.695432,-0.095011,-1.418118,0.151504,1.105149,-0.934866
85,-0.653664,-0.022514,0.175871,-5.758679,-0.382553,148.677592,-0.196134,0.694306,-0.095047,-1.418177,0.15039,1.105113,-0.890967
86,-0.652638,-0.021841,0.176587,-5.605224,-0.102953,150.923947,-0.196122,0.692844,-0.095023,-1.418261,0.147262,1.104921,-0.849933
87,-0.651823,-0.021499,0.177308,-5.386014,0.129411,152.912057,-0.196122,0.69125,-0.095107,-1.418285,0.143595,1.104142,-0.81331
88,-0.650789,-0.021408,0.17806,-5.143578,0.382637,154.700498,-0.196122,0.689392,-0.095299,-1.418453,0.139005,1.103986,-0.779802
89,-0.649792,-0.02156,0.178835,-4.848579,0.617448,156.333577,-0.196122,0.687355,-0.095514,-1.418585,0.133636,1.103663,-0.748691
90,-0.648857,-0.022048,0.179602,-4.467076,0.834671,157.919452,-0.196134,0.68515,-0.095826,-1.418609,0.127105,1.102776,-0.717987
91,-0.647997,-0.022891,0.180319,-4.010915,1.019336,159.439584,-0.196134,0.682849,-0.096377,-1.418621,0.11977,1.101194,-0.688302
92,-0.646779,-0.02397,0.180958,-3.504834,1.257536,161.005795,-0.196146,0.680428,-0.097012,-1.418693,0.110914,1.100271,-0.657167
93,-0.645688,-0.025253,0.181591,-2.886907,1.431797,162.719653,-0.196146,0.677648,-0.097672,-1.418944,0.100967,1.097922,-0.623072
94,-0.645004,-0.026602,0.182237,-2.22596,1.494943,164.528762,-0.196146,0.674915,-0.098463,-1.41904,0.091392,1.094255,-0.587683
